№;Позиции;Кол-во;Номинал;Корпус;Описание
27;Q3;1;A733;TO-92 треугольником;PNP — ключ динамика (у Andy_F — BC857)
28;Q1A;1;IRF840;TO-220 лёжа;N-канальный MOSFET — нижний ключ передатчика
29;Q1B;1;IRF9640;TO-220 лёжа;P-канальный MOSFET — верхний ключ передатчика
30;R1;1;100 Ом;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
31;R2;1;2 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
32;R3;1;10 Ом*;Резистор;Ограничение тока передатчика (подбирается)
33;R4;1;470 Ом;Резистор;Резистор, шаг 10,16 мм — как на плате DesAlex
34;R5;1;4,7 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
35;R6;1;1,2 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
36;R7;1;47 кОм*;Резистор;Обратная связь ОУ — задаёт усиление приёмника
37;R8;1;330 Ом;Резистор;Резистор, шаг 10,16 мм — как на плате DesAlex
38;R9;1;1,8 Ом*;Резистор;Датчик тока передатчика (у Andy_F — 1 Ом)
39;R10;1;10 кОм;Резистор;Резистор, шаг 10,16 мм — как на плате DesAlex
40;R12;1;68 Ом;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
41;R13, R14;2;1 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
42;R15;1;100 кОм;Резистор;Резистор, шаг 10,16 мм — как на плате DesAlex
43;R18;1;1,1 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
44;R21, R25;2;10 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
45;R22;1;1,5 кОм;Резистор;Резистор, шаг 7,62 мм — как на плате DesAlex
46;R24;1;100 Ом;Резистор;Резистор, шаг 10,16 мм — как на плате DesAlex
47;R26;1;47 Ом;Резистор;Ток подсветки дисплея (у Andy_F — два по 25 Ом)
48;R29;1;4,3 кОм*;Резистор;Делитель напряжения аккумулятора (у Andy_F — 10 кОм)
49;SW1, SW2, SW3, SW4, SW5, SW6;6;Кнопка;Кнопка 6×6 2 выв.;Тактовая кнопка 6×6 мм с двумя выводами через 6,5 мм
50;U2;1;TL431;TO-92;Опорное напряжение 2,5 В для средней точки приёмника
51;U3;1;LM2931Z-5.0;TO-92;Стабилизатор 5 В (у Andy_F — LP2950), питание аналоговой части VDD
52;U4;1;MCP3201;DIP-8;12-битный АЦП приёмника, SPI
53;U5;1;ATmega32A-PU;ATmega32A (DIP-40);Микроконтроллер ATmega32A, DIP-40
54;U7;1;L4940V5;TO-220 стоя;Стабилизатор 5 В (у Andy_F — LM2941S), питание цифровой части
55;U8;1;MCP601;DIP-8;Операционный усилитель приёмника (у Andy_F — MCP633)
56;VD1, VD2, VD3, VD4;4;1N4148;DO-35 стоя;Диод клавиатуры
57;X1;1;+ аккумулятора;Площадка под провод;Провод от плюса аккумулятора
58;X2;1;К дисплею;Провода к ЖК (8 шт.);Площадки под провода к ЖК 1602: данные D4–D7, E, RS и подсветка
59;X3;1;К кнопкам;Провода к кнопкам (2 шт.);Провода к клавиатуре: линии B1 и B2
60;X4;1;К динамику;Провода к динамику;Провода к динамику, шаг 5,08 мм — как на плате DesAlex
61;X5;1;К катушке TX;Провода к катушке TX;Провода к катушке TX, шаг 4,58 мм — как на плате DesAlex
62;X6;1;К катушке RX;Провода к катушке RX;Провода к катушке RX, шаг 4,58 мм — как на плате DesAlex
63;X7;1;+5 В ЖК;Площадка под провод;Провод питания ЖК
64;X8;1;GND ЖК;Площадка под провод;Общий провод ЖК
65;X9;1;К кнопкам;Площадка под провод;Провод к клавиатуре: линия B3
66;X10;1;− аккумулятора;Площадка под провод;Провод от минуса аккумулятора
