№;Позиции;Кол-во;Номинал;Корпус;Описание;Где стоит
39;TV1;1;230/9 В 2 ВА;Трансформатор EI30;Трансформатор 230 → 9 В, 2 ВА, на плату (Block VB 2,0/1/9, Myrra 44232 или аналог EI30);
40;U1, U2;2;MOC3023;MOC3021/3041/3063 (DIP-6);Оптосимистор MOC3021/3023 (случайная фаза) или MOC3041/3063 (переход через ноль): светодиод 1–2, симистор 4–6;
41;U3, U4, U5;3;MOC3063;MOC3021/3041/3063 (DIP-6);Оптосимистор MOC3021/3023 (случайная фаза) или MOC3041/3063 (переход через ноль): светодиод 1–2, симистор 4–6;
42;VD1;1;SS14;SMA;Диод Шоттки 1 А: развязка детектора нуля от накопительного конденсатора;
43;VD2;1;1N4148W;SOD-123;Диод на катушке зуммера;
44;VDS1;1;MB6S;Мост MBS (SOP-4);Диодный мост 0,5 А 600 В (SOP-4);
45;VS1, VS2;2;BT134W-600;BT134W / Z0107 (SOT-223, симистор);Маломощный симистор 1 А в SOT-223: BT134W-600, Z0107MN — T1 (MT1), T2 (MT2, и теплоотвод), управляющий электрод. Для клапанов, вентиляторов, ламп до ~200 Вт;
46;VS3, VS4, VS5;3;BTA41-600B;BTA41 на радиаторе;Симистор BTA41-600B (TOP3, 40 А) на общем радиаторе, изолированный корпус: T1 (MT1), T2 (MT2), G;
47;VT1, VT2;2;MMBT3904;MMBT3904/BC847/S8050 (SOT-23);Биполярные в SOT-23: MMBT3904/3906, BC847/857, MMBT2222A, S8050 (J3Y) — база, эмиттер, коллектор;
48;X1;1;Панель;Штыри 2×6;Экран OLED, энкодер, кнопки и зуммер на панели — плоский кабель 2×6 (IDC). Верхний ряд — сигналы от ESP32, нижний — кнопки, зуммер и питание;
49;X2;1;Фильтр;JST PH 4;Датчик перепада на фильтре SDP810-500Pa (шина I²C 0), JST PH: GND, 3V3, SCL, SDA;
50;X3;1;Расход;JST PH 4;Расходомер SDP810-125Pa (шина I²C 1), JST PH: GND, 3V3, SCL, SDA;
51;X4;1;Датчики;JST PH 7;Трансформаторы тока (общий VMID, ТТ1, ТТ2, ТТ3) и термисторы двигателей (NTC1, NTC2, GND), JST PH;
52;X6;1;Прошивка;Штыри 1×5;Разъём прошивки 1×5 к переходнику USB-UART 3,3 В: IO0, RXD, TXD, 3V3, GND (TX переходника — к RXD, RX — к TXD). Прошивка: перемычка IO0–GND, включить питание переходника, загрузить, снять перемычку и перевключить;
53;XP1;1;3×1,5 мм²;Сетевой шнур с вилкой;Сетевой шнур с вилкой;
54;XS1;1;16 А;Розетка для инструмента;Розетка для инструмента (автозапуск пылесоса);
55;XT1;1;Сеть;Клеммник 2, 5,08;Клеммник сети 230 В: L, N;
56;XT2;1;Клапаны;Клеммник 3, 5,08;Клеммник клапанов продувки: Y1, Y2, N;
57;XT3;1;Симисторы;Клеммник 6, 5,08;Клеммник к симисторам BTA41 на радиаторе: T2 и G турбин 1, 2 и розетки;
58;YA1, YA2;2;230 В ~;Электромагнитный клапан 230 В;Клапан продувки фильтра, 230 В ~, нормально закрытый, 1/2″;
